nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
BK25,2,Established Hub,0.7323017108379446,0.0687022900763358,0.4122608466786669,2.0,0.0,0.0,1.0,0.5,Medium,0.5578250230066446,"BK44,BK83,QN06",51
BK42,2,Established Hub,0.6235154717115564,0.0779816513761468,0.2540102821747695,3.0,0.5322812051649928,0.25538020086083213,5.125,1.0,Low,0.5510103015545305,"QN70,BK41,QN35",52
MN35,3,High Opportunity,0.5486498356253705,0.0,0.5651271309133185,0.0,0.5544871794871795,0.32371794871794873,3.627906976744186,0.5,Medium,0.5455107866154756,"BK88,BK96,SI45",53
BK40,3,High Opportunity,0.585799918117326,0.0151515151515151,0.5279612523101012,1.0,0.0,0.0,1.0,0.5,Medium,0.5455044681709709,"BK63,QN55,BK68",54
BK23,1,Growing Market,0.4897039143106066,0.0285714285714285,0.3621683439808776,1.0,0.0,1.0,1.0,1.0,Low,0.5407489033165938,"QN15,MN11,MN13",55
QN06,1,Growing Market,0.6300463019788602,0.037037037037037,0.4645796081897695,2.0,0.0,0.0,1.0,0.5,Medium,0.5378503640674519,"QN53,BK25,SI12",56
SI08,1,Growing Market,0.4150582761759843,0.0,0.4275234904787698,0.0,0.0,1.0,1.0,1.0,Low,0.5370327066619016,"QN18,QN07,BX41",57
BK32,1,Growing Market,0.434260473545537,0.0088105726872246,0.40343902746904,1.0,0.5056818181818182,0.4090909090909091,3.2,1.0,Low,0.5350798004058308,"MN17,MN13,QN18",58
QN18,1,Growing Market,0.4115895367066903,0.0,0.4239505762867269,0.0,0.48878923766816146,0.3811659192825112,4.2075471698113205,1.0,Low,0.534216045197367,"SI08,QN07,BX41",59
MN11,1,Growing Market,0.4537345570764828,0.018348623853211,0.3760128715897188,2.0,0.5241635687732342,0.21933085501858737,4.846846846846847,1.0,Low,0.5318989714664806,"MN13,QN15,MN19",60
QN70,2,Established Hub,0.5627860754843091,0.0631364562118126,0.2653636915937207,5.0,0.516548463356974,0.31560283687943264,4.2727272727272725,1.0,Low,0.531259906831212,"BK42,BK41,BK46",61
QN07,1,Growing Market,0.4070281313724342,0.0,0.4192521808036725,0.0,0.4406779661016949,0.3220338983050847,3.2777777777777777,1.0,Low,0.5305121248704427,"QN18,BX41,SI08",62
MN13,1,Growing Market,0.4384712649320295,0.0142045454545454,0.3809224389491598,4.0,0.5311387900355872,0.34430604982206403,4.14760147601476,1.0,Low,0.5277574815524757,"MN11,BK32,MN19",63
BX41,1,Growing Market,0.4007491603265086,0.0,0.4127846369134476,0.0,0.4926829268292683,0.32195121951219513,4.456521739130435,1.0,Low,0.5254135188959825,"QN07,QN18,SI08",64
BK68,1,Growing Market,0.555047553291498,0.0132450331125827,0.5057767208610369,2.0,0.0,0.0,1.0,0.5,Medium,0.524329709661014,"BK40,BK63,QN55",65
MN17,1,Growing Market,0.4072665141130224,0.0044943820224719,0.397122486156227,2.0,0.5156537753222836,0.3760589318600368,3.6590296495956873,1.0,Low,0.5217556001076997,"BX41,QN07,QN18",66
QN15,1,Growing Market,0.4522889475378979,0.0232558139534883,0.3500934493129167,1.0,0.5340909090909091,0.3181818181818182,3.52,1.0,Low,0.5209529587403259,"MN11,BK23,MN13",67
SI45,1,Growing Market,0.5117673598336305,0.0,0.5271369842446185,0.0,0.5573770491803278,0.3005464480874317,3.452830188679245,0.5,Medium,0.5155617376312996,"BK28,MN35,BK88",68
BK28,1,Growing Market,0.5155927563298833,0.0040816326530612,0.5107568988091693,1.0,0.5428571428571428,0.21714285714285714,4.794520547945205,0.5,Medium,0.5105398620556211,"SI45,MN35,BK88",69
MN33,1,Growing Market,0.3743769874085387,0.0,0.3856204431976241,0.0,0.5011185682326622,0.33557046979865773,4.257142857142857,1.0,Low,0.5039989722424651,"BX41,MN17,QN07",70
MN19,1,Growing Market,0.4093632757535468,0.0149006622516556,0.3474746551112651,3.0,0.4872427983539095,0.47160493827160493,3.403361344537815,1.0,Low,0.5027351723459248,"MN12,MN13,BK37",71
BK44,2,Established Hub,0.6496216063486949,0.0649350649350649,0.3458527498457017,2.0,0.5637860082304527,0.3004115226337449,4.2631578947368425,0.5,Medium,0.4981897424777586,"BK83,BK25,SI01",72
BK41,2,Established Hub,0.7343156876646747,0.2068965517241379,0.0,5.0,0.5,0.23550724637681159,4.6,1.0,Low,0.4937262750658699,"QN35,BK42,BK19",73
BK83,2,Established Hub,0.6501897994730407,0.0681818181818181,0.330274078157635,2.0,0.6039215686274509,0.27450980392156865,4.25,0.5,Medium,0.49218555105227024,"BK44,BK25,SI01",74
MN12,1,Growing Market,0.382142837993659,0.0144927536231884,0.3214674901740937,1.0,0.5308483290488432,0.36118251928020567,3.949238578680203,1.0,Low,0.4814441312671011,"BK37,MN23,MN19",75
BK37,1,Growing Market,0.3833481195061672,0.0185185185185185,0.3026667383804747,2.0,0.5269645608628659,0.41756548536209553,3.6055555555555556,1.0,Low,0.4744059431546568,"MN12,MN23,QN60",76
SI54,1,Growing Market,0.48582441872574,0.0103092783505154,0.4490902725546151,1.0,0.5671641791044776,0.26865671641791045,2.7916666666666665,0.5,Medium,0.47396587651214206,"BK28,SI45,BK68",77
QN12,1,Growing Market,0.3369869870583846,0.0,0.3471075297677938,0.0,0.5217391304347826,0.44565217391304346,3.066666666666667,1.0,Low,0.4736378067304714,"BK35,QN08,MN33",78
BK35,1,Growing Market,0.3279310739992077,0.0,0.3377796455097046,0.0,0.5306859205776173,0.27075812274368233,4.196969696969697,1.0,Low,0.46628428780356496,"QN12,QN08,MN27",79
BK09,1,Growing Market,0.5054784688181406,0.0223880597014925,0.4092004878866897,1.0,0.0,0.0,1.0,0.5,Medium,0.4658715826819322,"BK26,MN28,SI54",80
MN23,1,Growing Market,0.3493638052817926,0.012108980827447,0.2995716123786576,4.0,0.5293255131964809,0.3592375366568915,3.7472527472527473,1.0,Low,0.4595741670641801,"MN12,MN27,BK37",81
