nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,halal_demand_forecast_norm,final_score_adjusted
BK32,1,Growing Market,0.434260473545537,0.0088105726872246,0.40343902746904,1.0,0.5056818181818182,0.4090909090909091,3.2,1.0,0.5350798004058308,"MN17,MN13,QN18",67,1.0,High,Medium-High Risk,High confidence,0.3399424132148836,1.9528777308510705,0.2436542748798987,0.46589966121047105
QN15,1,Growing Market,0.4522889475378979,0.0232558139534883,0.3500934493129167,1.0,0.5340909090909091,0.3181818181818182,3.52,1.0,0.5209529587403259,"MN11,BK23,MN13",68,0.9999999999999999,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4621955860938905
BK26,1,Growing Market,0.4897039143106066,0.0277777777777777,0.3661195266352021,1.0,0.0,0.0,1.0,0.5,0.4423293763783235,"MN28,QN68,BK09",69,2.2445369147117643e-93,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.46169390589410375
BK41,2,Established Hub,0.7343156876646747,0.2068965517241379,0.0,5.0,0.5,0.2355072463768115,4.6,1.0,0.4937262750658699,"QN35,BK42,BK19",70,1.0,High,High Risk,High confidence,0.7402119157798528,3.026846616673284,1.0,0.4616340671865884
MN17,1,Growing Market,0.4072665141130224,0.0044943820224719,0.397122486156227,2.0,0.5156537753222836,0.3760589318600368,3.6590296495956873,1.0,0.5217556001076997,"BX41,QN07,QN18",71,1.0,High,Medium-High Risk,High confidence,0.4116869718485498,1.9737542796076817,0.3792221607055098,0.46031046940435333
SI45,1,Growing Market,0.5117673598336305,0.0,0.5271369842446185,0.0,0.5573770491803278,0.3005464480874317,3.452830188679245,0.5,0.5155617376312996,"BK28,MN35,BK88",72,1.0000000000000002,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4574124313801264
MN19,1,Growing Market,0.4093632757535468,0.0149006622516556,0.3474746551112651,3.0,0.4872427983539095,0.4716049382716049,3.403361344537815,1.0,0.5027351723459248,"MN12,MN13,BK37",73,1.0,High,Medium-High Risk,High confidence,0.5636549887826492,1.9528777308510705,0.6663795864562484,0.4558009552748516
BK46,1,Growing Market,0.3931259923281354,0.04,0.2057929207735544,1.0,0.0,1.0,1.0,1.0,0.439567565240676,"MN22,BK33,QN01",74,7.376291254118763e-52,Low,Low Risk,Low confidence,0.2864855806097892,1.9528777308510705,0.14264271501777462,0.4458376763346443
BK28,1,Growing Market,0.5155927563298833,0.0040816326530612,0.5107568988091693,1.0,0.5428571428571428,0.2171428571428571,4.794520547945205,0.5,0.5105398620556211,"SI45,MN35,BK88",75,1.0,High,Medium-High Risk,High confidence,0.3516498137321903,1.9528777308510705,0.2657764757390474,0.4454924889945005
MN28,1,Growing Market,0.4688689940393571,0.0273224043715847,0.3469259548091248,2.0,0.0,0.0,1.0,0.5,0.4263179795393927,"QN68,BK26,SI28",76,1.474752731135446e-94,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.44498155365127245
