restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
SKVnI_HkcaZZOZsPEIBSlw,40.742926,-73.935132,QN31,nta-qn31,True,True
yeG968SwcHavk5EkD6rFYQ,40.744604,-73.920272,QN31,nta-qn31,True,True
UlyEK3DKUb-X5V-VV0Mr0g,40.74355141607233,-73.92336224110454,QN31,nta-qn31,True,True
aGzAT0zHj7zmlj0rJO8Jkw,40.73936,-73.9207457005978,QN31,nta-qn31,True,True
JnjmCHUQBEfpF7vSKnxU7g,40.7438380472824,-73.9241266284942,QN31,nta-qn31,True,True
I8X2NYRYHdWrGrxIHZFJ5A,40.744285,-73.924903,QN31,nta-qn31,True,True
E1fFQqXuO2Ido9hGDmTbDg,40.7392043166647,-73.9197625899353,QN31,nta-qn31,True,True
hfCU-GH8GP6vjAknXUyhKQ,40.743884,-73.921213,QN31,nta-qn31,True,True
-kVueEw_fyO1Q2Gkmj6Few,40.7408825848415,-73.91784925367881,QN31,nta-qn31,True,True
VNFj-sw3UZuvTTSOGkW30w,40.73946358908229,-73.92206279999999,QN31,nta-qn31,True,True
-6yamijCjBJfJiP8wrAfdw,40.7435734,-73.9248404,QN31,nta-qn31,True,True
8gmRUYZIcfmWl0pFB60tpA,40.743616803586285,-73.92341027976228,QN31,nta-qn31,True,True
e03tT0hH6qU-_dR8pwFa0Q,40.7436221,-73.92000673170276,QN31,nta-qn31,True,True
daYd9YFIwdc83ZcdkjCdqA,40.7413662,-73.9209563,QN31,nta-qn31,True,True
vPwIQQOWWIIoR6BHrp7mUA,40.74315,-73.918525,QN31,nta-qn31,True,True
C_-TaEmpsBX2Uh6KQAXujw,40.74422424498161,-73.92493043080994,QN31,nta-qn31,True,True
jLYloXCUJzJJhIYc2Wx8-A,40.7428162,-73.9200369,QN31,nta-qn31,True,True
XODbIw3e7tLkZrdOnsaofA,40.727307,-73.893483,QN30,nta-qn30,True,True
8_hNKM0rw4O_3y4UkOhfUA,40.72986244235483,-73.8877734,QN30,nta-qn30,True,True
RQic4NVDNhCwJRCK-Rgp0w,40.727802,-73.891651,QN30,nta-qn30,True,True
fRO4Fwe5uRAajMcTwLbVkA,40.74344034310768,-73.88762803704094,QN29,nta-qn29,True,True
